"Ingredient","Count","Percentage"
"Walnut",43864,2.66959122340846
"Yogurt",25118,1.5286976187665
"Dill",23716,1.4433709979563
"Mint",20202,1.22950670014813
"Turmeric",12390,0.754063360797713
"Cardamom",6935,0.422068555862158
"Lamb",5819,0.354148078812098
"Pistachio",5715,0.347818571990228
"Saffron",3290,0.200231513884138
"Pomegranate",2688,0.163593407088317
"Fenugreek",721,0.0438805232554601
"Sumac",536,0.0326213043896347
"Rose Water",183,0.0111374975807895
"Lavash",12,0.000730327710215702
"Barberry (Zereshk)",0,0
